,index,problem,amount,noise,distance,variation,lower,upper,training,training,training,training,training,training,minimum
,,,,,,,,,count,min,mean,median,max,std,
0,371,f1,50,noise,ABS,RSC,7.00E-06,8.00E-06,10,0.5312629294,2.59704213767,1.855696022,7.71504243,2.1737058056672325,1.855696022
1,1040,f1,50,original,ABS,RSC,2.00E-06,5.00E-06,10,0.6056418472,2.41732187052,1.7683290489999999,5.034150796,1.5536240434729902,1.7683290489999999
2,1884,f10,50,noise,ABS,RSC,6.00E-06,7.00E-06,10,0.102802705,0.18691928255,0.1586072296,0.3780805137,0.07988168804526348,0.1586072296
3,2654,f10,50,original,ABS,RSC,7.00E-04,9.00E-04,10,0.1223962693,0.15224721412,0.1285422755,0.2338906937,0.041343090943186854,0.1285422755
4,3397,f11,50,noise,ABS,RSC,5.00E-07,6.00E-07,9,38.14545941,74.88989265111111,49.82764859,149.317153,42.71434672312035,49.82764859
5,4124,f11,50,original,ABS,RSC,3.00E-07,9.00E-07,9,24.48329255,65.44213757555556,41.24180345,159.5451864,46.4774417055651,41.24180345
6,4904,f12,50,noise,ABS,RSC,4.00E-07,6.00E-07,9,487.8507476,1298.931659288889,1195.515681,2078.046789,427.7568469253929,1195.515681
7,5666,f12,50,original,ABS,RSC,4.00E-07,6.00E-07,9,715.1302614,1197.9602327888888,1112.46068,1578.442989,300.91877472304,1112.46068
8,6349,f13,50,noise,ABS,RSC,1.00E-07,2.00E-07,9,35.72876414,51.70870024333333,52.07955422,60.46023972,8.423353027100008,52.07955422
9,7142,f13,50,original,ABS,RSC,2.00E-07,4.00E-07,9,44.32575851,52.62576347888889,51.83687218,60.96613702,5.6122191668827295,51.83687218
10,7823,f14,50,noise,ABS,RSC,0.00E+00,3.00E-07,9,632.8054007,2284.2694039666667,1093.711273,5179.549683,1934.6731254984597,1093.711273
11,8735,f14,50,original,ABS,RSC,6.00E-04,1.00E-03,10,372.0235585,1897.6273975300003,788.1263096,5037.943379,1979.6463106057124,788.1263096
12,9494,f15,50,noise,ABS,RSC,5.00E-07,7.00E-07,9,11254.39534,62645.032911111106,73109.80412,87880.90983,28581.164097952777,73109.80412
13,10166,f15,50,original,ABS,RSC,1.00E-07,9.00E-07,9,5656.831534,64587.43933044444,69282.98309,84765.97125,22692.739247756497,69282.98309
14,10884,f16,50,noise,ABS,RSC,0.00E+00,7.00E-04,10,15309.74341,55649.780167000004,46522.1418,100331.9177,37058.61059305424,46522.1418
15,11623,f16,50,original,ABS,RSC,0.00E+00,1.00E-05,10,12080.04665,65758.126463,69823.698865,97458.76363,33585.98592575164,69823.698865
16,12491,f17,50,noise,ABS,RSC,3.00E-05,6.00E-05,10,242298.4925,7851756.59025,8713288.548,8741712.274,2674685.2760564117,8713288.548
17,13154,f17,50,original,ABS,RSC,0.00E+00,3.00E-04,10,8371111.86,8473098.6404,8481217.605,8517462.911,38021.7990787941,8481217.605
18,14076,f18,50,noise,ABS,RSC,6.00E-06,7.00E-06,10,1413.550835,26131.3080065,21114.591725,47117.54928,16617.477100857934,21114.591725
19,14725,f18,50,original,ABS,RSC,1.00E-06,4.00E-06,10,62.36714219,26400.224782219,19016.663585000002,60011.53037,19396.140094858267,19016.663585000002
20,15811,f19,50,noise,ABS,SCPS,0.00E+00,1.00E+00,10,70066.40264,191241.994438,127851.54493999999,562770.2815,157984.50910399307,127851.54493999999
21,16197,f19,50,original,ABS,RSC,0.00E+00,1.00E-07,9,32095.01968,191039.4548711111,130970.7313,562826.1032,172032.56449788605,130970.7313
22,17118,f2,50,noise,ABS,RSC,6.00E-04,7.00E-04,10,72.69317067,99.664201443,97.607560915,135.7807835,20.7047279700398,97.607560915
23,17906,f2,50,original,ABS,RSC,9.00E-04,1.00E-03,10,5.870427386,47.108230741599996,34.170903705,98.48889122,33.85091523883513,34.170903705
24,18534,f20,50,noise,ABS,RSC,1.00E-06,3.00E-06,10,36.48784204,151.411851417,114.6351004,485.8795445,142.63262357190484,114.6351004
25,19342,f20,50,original,ABS,RSC,3.00E-04,5.00E-04,10,16.74553547,154.534397749,78.187294725,431.1678382,147.76742472850546,78.187294725
26,20083,f21,50,noise,ABS,RSC,2.00E-05,5.00E-05,10,0.4805440637,0.85627667011,0.68042183635,1.494836481,0.33661744174432845,0.68042183635
27,20924,f21,50,original,ABS,RSC,5.00E-07,7.00E-07,9,0.5067693401,0.7586154608666666,0.6390143961,1.359272297,0.2607893443534278,0.6390143961
28,21596,f3,50,noise,ABS,RSC,1.00E-07,9.00E-07,9,1435.520356,3464.6288886666666,2697.066393,7797.730803,2065.5866584544056,2697.066393
29,22384,f3,50,original,ABS,RSC,2.00E-07,6.00E-07,9,711.9274088,1667.7035224444446,830.5934369,6502.322264,1883.9764437933006,830.5934369
30,23234,f4,50,noise,ABS,RSC,7.00E-07,9.00E-07,9,0.1135770726,4.651551263422223,0.1365534574,40.69139641,13.514990113808661,0.1365534574
31,23876,f4,50,original,ABS,RSC,1.00E-07,3.00E-07,9,0.008419981991,0.10001147242566667,0.08807364366,0.1613604204,0.05125994356309917,0.08807364366
32,24622,f5,50,noise,ABS,RSC,1.00E-05,3.00E-05,10,1.032933293,6.6069233625,2.704987745,26.01548205,9.039086864201979,2.704987745
33,25504,f5,50,original,ABS,RSC,6.00E-05,8.00E-05,10,0.02143139449,5.212451296949,2.7810473475,25.95708069,7.5463379714788354,2.7810473475
34,26277,f6,50,noise,ABS,RSC,7.00E-05,8.00E-05,10,26.59725601,83.237877955,73.86444451,139.7792409,48.50147599895007,73.86444451
35,26937,f6,50,original,ABS,RSC,2.00E-04,8.00E-04,10,12.09842391,48.524992164,37.010115325,86.38106899,24.9008561872186,37.010115325
36,27730,f7,50,noise,ABS,RSC,3.00E-05,5.00E-05,10,37.58151297,67.83887214,50.086690395,135.1263135,35.57051868574469,50.086690395
37,28440,f7,50,original,ABS,RSC,1.00E-06,3.00E-06,10,21.13356157,53.851513517,34.91077746,155.3616137,43.07938540472873,34.91077746
38,29283,f8,50,noise,ABS,RSC,4.00E-06,6.00E-06,10,0.04952771474,0.160033963746,0.1136070543,0.5945474592,0.1554629717677337,0.1136070543
39,30082,f8,50,original,ABS,RSC,6.00E-07,8.00E-07,9,0.0209175896,1.9219941263655553,0.05265270204,16.46492078,5.454413365764334,0.05265270204
40,30679,f9,50,noise,ABS,RSC,0.00E+00,2.00E-07,9,1061.589733,1164.0616896666668,1123.899245,1277.822879,88.66014057769797,1123.899245
41,31433,f9,50,original,ABS,RSC,0.00E+00,1.00E-03,10,104.2432065,263.19188431,208.37127255000001,537.068051,133.7877643939664,208.37127255000001
